Doc. Date,"FORETV
 Doc. #",Business Partner,Agency,"Sales 
Exec.",Product,Order,Total Foreing Currency
2023-02-27 00:00:00,2302001764.0,UNILEVER- ARG,UNILEVER - ARG,RAQUEL MARTINEZ,DOVE SHAMPOO - ARG,op 971117,62201.7
2023-02-27 00:00:00,2302001799.0,UNILEVER- ARG,UNILEVER - ARG,RAQUEL MARTINEZ,TRESEMME-ARG,op 971165,72468.0
2023-02-27 00:00:00,2302001820.0,UNILEVER- ARG,UNILEVER - ARG,RAQUEL MARTINEZ,AXE - ARG,op 971583,38649.6
2023-02-27 00:00:00,2302001829.0,UNILEVER- ARG,UNILEVER - ARG,RAQUEL MARTINEZ,DOVE DESODORANTE ANTITRANSPIRA - ARG,op 971657,28987.2
2023-02-27 00:00:00,2302001831.0,UNILEVER- ARG,UNILEVER - ARG,RAQUEL MARTINEZ,REXONA MASTERBRAND - ARG,op 971751,69448.5
2023-02-27 00:00:00,2302001711.0,VERISURE OFF - ARG,CARAT ARGENTINA S.A. - ARG,RAQUEL MARTINEZ,ALARMAS - ARG,op 470558,249600.0
2023-02-27 00:00:00,2302001618.0,YPF SA - ARG,YPF SA - ARG,RAQUEL MARTINEZ,COMBUSTIBLES  YPF - ARG,op 202302-0026,103833.0
2023-02-27 00:00:00,2302001645.0,ZENITHOPTIMEDIA GROUP ARGENTINA SA - ARG,MMS COMUNICACIONES ARGENTINA S.A - ARG,RAQUEL MARTINEZ,APEX STELLA - ARG,op 20550,55575.0
2023-02-27 00:00:00,2302001673.0,ZENITHOPTIMEDIA GROUP ARGENTINA SA - ARG,MMS COMUNICACIONES ARGENTINA S.A - ARG,RAQUEL MARTINEZ,APEX MICHELOB - ARG,op 20761A,38025.0
2023-02-27 00:00:00,2302001826.0,ZENITHOPTIMEDIA GROUP ARGENTINA SA - ARG,MMS COMUNICACIONES ARGENTINA S.A - ARG,RAQUEL MARTINEZ,APEX ANDES - ARG,op 22239,54931.5
